Name	Resource Type	Domain	Site Code	Client	Approved	Assigned	Blocked	Client Type	Obsolete	Active	
XLWUL-491MQY	System	AREA52	XLW	No	Approved	Yes	No				
XLWUL-491MSS	System	AREA52	XLW	No	Approved	Yes	No				
XLWUL-493Z8M	System	AREA52	XLW	No	Approved	Yes	No				
XLWUW-5121X6F	System	AREA52	XLW	No	Approved	Yes	No				
XLWUW-43201T	System	AREA52	XLW	No	Approved	Yes	No				
XLWUL-200YV3	System	AREA52	XLW	No	Approved	Yes	No				
XLWUL-491MSY	System	AREA52	XLW	No	Approved	Yes	No				
TYNMXSAFWK01003	System	AREA52	XLW	No	Approved	Yes	No				
XLWUL-03282D	System	AREA52	XLW	No	Approved	Yes	No				
XLWUW-1016MG	System	AREA52	XLW	No	Approved	Yes	No				
XLWUW-042624	System	AREA52	XLW	No	Approved	Yes	No				
XLWUL-021Y3R	System	AREA52	XLW	No	Approved	Yes	No				
XLWUL-493Z7B	System	AREA52	XLW	No	Approved	Yes	No				
XLWUW-412LM5	System	AREA52	XLW	No	Approved	Yes	No				
XLWUL-351G6K	System	AREA52	XLW	No	Approved	Yes	No				
XLWUL-022FBR	System	AREA52	XLW	No	Approved	Yes	No				
XLWUL-493Z7D	System	AREA52	XLW	No	Approved	Yes	No				
XLWUL-89TTR1	System	AREA52	XLW	No	Approved	Yes	No				
XLWUW-1016K4	System	AREA52	XLW	No	Approved	Yes	No				
XLWUL-3W0NHK	System	AREA52	XLW	No	Approved	Yes	No				
XLWUW-43206V	System	AREA52	XLW	No	Approved	Yes	No				
52XLWUW3-43206J	System	AREA52	XLW	No	Approved	Yes	No				
XLWUW-431KN4	System	AREA52	XLW	No	Approved	Yes	No				
XLWUL-A04109	System	AREA52	XLW	No	Approved	Yes	No				
TYNRHSWK0N403	System	AREA52	XLW	No	Approved	Yes	No				
XLWUW-410LZN	System	AREA52	XLW	No	Approved	Yes	No				
XLWUW-421NF6	System	AREA52	XLW	No	Approved	Yes	No				
XLWUL-470475	System	AREA52	XLW	No	Approved	Yes	No				
52XLWUW3-432062	System	AREA52	XLW	No	Approved	Yes	No				
XLWUL-491MSG	System	AREA52	XLW	No	Approved	Yes	No				
XLWUL-493XWR	System	AREA52	XLW	No	Approved	Yes	No				
52XLWUW3-290T04	System	AREA52	XLW	No	Approved	Yes	No				
XLWUL-510MRT	System	AREA52	XLW	No	Approved	Yes	No				
XLWUL-022DYZ	System	AREA52	XLW	No	Approved	Yes	No				
XLWUL-493ZDT	System	AREA52	XLW	No	Approved	Yes	No				
XLWUL-022FBW	System	AREA52	XLW	No	Approved	Yes	No				
XLWUW-4504DM	System	AREA52	XLW	No	Approved	Yes	No				
XLWUW-121X97	System	AREA52	XLW	No	Approved	Yes	No				
XLWUL-A03913	System	AREA52	XLW	No	Approved	Yes	No				
XLWUW-431KK7	System	AREA52	XLW	No	Approved	Yes	No				
XLWUL-037UYK	System	AREA52	XLW	No	Approved	Yes	No				
XLWUL-493XWV	System	AREA52	XLW	No	Approved	Yes	No				
XLWUL-490W4Z	System	AREA52	XLW	No	Approved	Yes	No				
XLWUW-4902WT	System	AREA52	XLW	No	Approved	Yes	No				
XLWUL-A04132	System	AREA52	XLW	No	Approved	Yes	No				
XLWUL-493XJ8	System	AREA52	XLW	No	Approved	Yes	No				
XLWUL-491MRN	System	AREA52	XLW	No	Approved	Yes	No				
XLWUL-491MT1	System	AREA52	XLW	No	Approved	Yes	No				
XLWUW-1016LW	System	AREA52	XLW	No	Approved	Yes	No				
XLWUL-JBVPZX	System	AREA52	XLW	No	Approved	Yes	No				
XLWUL-491MSM	System	AREA52	XLW	No	Approved	Yes	No				
XLWUL-493Z5Z	System	AREA52	XLW	No	Approved	Yes	No				
52XLWUW3-410M87	System	AREA52	XLW	No	Approved	Yes	No				
XLWUL-490W7B	System	AREA52	XLW	No	Approved	Yes	No				
XLWUD-460N59	System	AREA52	XLW	No	Approved	Yes	No				
XLWUL-490W6T	System	AREA52	XLW	No	Approved	Yes	No				
XLWUL-022D36	System	AREA52	XLW	No	Approved	Yes	No				
XLWUL-0327TY	System	AREA52	XLW	No	Approved	Yes	No				
XLWUL-88WTR1	System	AREA52	XLW	No	Approved	Yes	No				
XLWUT-458875	System	AREA52	XLW	No	Approved	Yes	No				
XLWUL-391393	System	AREA52	XLW	No	Approved	Yes	No				
XLWUL-022FCM	System	AREA52	XLW	No	Approved	Yes	No				
52XLWUW3-432012	System	AREA52	XLW	No	Approved	Yes	No				
XLWUL-3833P1	System	AREA52	XLW	No	Approved	Yes	No				
XLWUL-490W55	System	AREA52	XLW	No	Approved	Yes	No				
XLWUW-121X99	System	AREA52	XLW	No	Approved	Yes	No				
