"Plugin","Plugin Name","IP Address","NetBIOS Name","DNS Name"
"22024","Microsoft Internet Explorer Unsupported Version Detection","131.55.197.75","","xlwul-511kmx.area52.afnoapps.usaf.mil"
"22024","Microsoft Internet Explorer Unsupported Version Detection","131.55.197.79","","xlwuw-472pxm.area52.afnoapps.usaf.mil"
"22024","Microsoft Internet Explorer Unsupported Version Detection","131.55.197.83","","xlwuw-472pxh.area52.afnoapps.usaf.mil"
"22024","Microsoft Internet Explorer Unsupported Version Detection","131.55.197.152","","xlwul-461pxr.area52.afnoapps.usaf.mil"
"22024","Microsoft Internet Explorer Unsupported Version Detection","131.55.197.212","AREA52\XLWUL-470433","xlwul-470433.area52.afnoapps.usaf.mil"
"22024","Microsoft Internet Explorer Unsupported Version Detection","131.55.198.45","","xlwul-461pvv.area52.afnoapps.usaf.mil"
"22024","Microsoft Internet Explorer Unsupported Version Detection","131.55.198.46","","xlwub-m04936.area52.afnoapps.usaf.mil"
"22024","Microsoft Internet Explorer Unsupported Version Detection","131.55.198.91","","xlwul-511kqc.area52.afnoapps.usaf.mil"
"22024","Microsoft Internet Explorer Unsupported Version Detection","131.55.198.98","","xlwub-m02322.area52.afnoapps.usaf.mil"
"22024","Microsoft Internet Explorer Unsupported Version Detection","131.55.198.114","","xlwul-47047j.area52.afnoapps.usaf.mil"
"22024","Microsoft Internet Explorer Unsupported Version Detection","131.55.198.125","","xlwul-461pvd.area52.afnoapps.usaf.mil"
"22024","Microsoft Internet Explorer Unsupported Version Detection","131.55.198.134","","xlwuw-m02342.area52.afnoapps.usaf.mil"
"22024","Microsoft Internet Explorer Unsupported Version Detection","131.55.198.137","","xlwul-461pvj.area52.afnoapps.usaf.mil"
"22024","Microsoft Internet Explorer Unsupported Version Detection","131.55.202.53","","xlwul-015uk5.area52.afnoapps.usaf.mil"
"22024","Microsoft Internet Explorer Unsupported Version Detection","131.55.202.59","","xlwul-015uu2.area52.afnoapps.usaf.mil"
"22024","Microsoft Internet Explorer Unsupported Version Detection","131.55.220.44","","xlwuw-290t6b.area52.afnoapps.usaf.mil"
"22024","Microsoft Internet Explorer Unsupported Version Detection","131.55.220.55","","xlwuw-460n4q.area52.afnoapps.usaf.mil"
"22024","Microsoft Internet Explorer Unsupported Version Detection","131.55.220.56","","xlwuw-460n3p.area52.afnoapps.usaf.mil"
"22024","Microsoft Internet Explorer Unsupported Version Detection","131.55.232.23","","xlwuw-1016l8.area52.afnoapps.usaf.mil"
"22024","Microsoft Internet Explorer Unsupported Version Detection","131.55.232.31","","xlwuw-10169z.area52.afnoapps.usaf.mil"
